"id","출생연도","성별","배우자월평균소득","아이양육자","직업군대분류","고용형태","최종학력","취업유무","조사연도"
2466,1987,2,1,1,2,1,4,5,2016
2476,1981,1,0,0,1,1,4,5,2016
2511,1979,1,0,0,2,1,4,5,2016
2525,1986,2,1,0,-1,-1,4,6,2016
2532,1980,1,0,0,2,1,4,5,2016
2539,1981,1,0,0,1,1,4,5,2016
2571,1982,2,1,0,0,1,4,5,2016
2579,1979,2,1,0,0,1,4,5,2016
2584,1981,1,1,0,1,1,5,5,2016
2585,1978,2,0,0,-1,-1,4,6,2016
2598,1985,2,1,0,0,2,4,5,2016
2624,1983,2,1,0,2,2,4,5,2016
2632,1980,1,0,0,2,1,4,5,2016
2633,1982,2,1,0,1,1,4,5,2016
2649,1980,1,1,1,1,1,4,5,2016
2653,1986,2,1,0,0,1,4,5,2016
2663,1986,1,1,0,2,1,4,5,2016
2683,1978,1,0,0,0,1,4,5,2016
2694,1984,1,0,0,2,1,4,5,2016
2703,1983,2,1,0,-1,-1,4,6,2016
2708,1984,2,0,0,-1,-1,4,6,2016
2709,1983,2,0,0,2,1,4,5,2016
2744,1985,2,0,0,-1,-1,4,6,2016
2745,1981,1,0,0,1,1,5,5,2016
2803,1981,2,1,0,2,1,4,5,2016
2836,1981,2,1,0,-1,-1,4,6,2016
2850,1978,2,1,0,-1,-1,4,6,2016
2856,1979,2,1,0,-1,-1,4,6,2016
2878,1978,1,0,0,2,1,4,5,2016
2887,1982,2,0,0,2,1,4,5,2016
2892,1979,2,1,0,2,1,5,5,2016
2894,1979,1,1,2,2,1,5,5,2016
2904,1986,2,1,0,-1,-1,4,6,2016
2918,1981,1,0,0,0,1,4,5,2016
2938,1987,2,1,0,-1,-1,4,6,2016
2943,1981,1,0,0,1,1,4,5,2016
2947,1982,1,0,0,2,1,4,5,2016
2948,1981,1,0,0,1,1,4,5,2016
2958,1982,2,1,0,-1,-1,4,6,2016
2965,1985,2,1,0,-1,-1,4,6,2016
2986,1983,1,0,0,0,1,4,5,2016
2990,1982,2,1,0,-1,-1,4,6,2016
2998,1983,1,0,0,2,1,4,5,2016
2999,1985,2,1,0,-1,-1,4,6,2016
3018,1981,2,1,0,-1,-1,4,6,2016
3026,1984,2,1,0,-1,-1,4,6,2016
3028,1979,1,0,0,1,1,4,5,2016
3065,1983,1,0,0,0,1,4,5,2016
3101,1985,2,1,0,-1,-1,5,6,2016
3104,1985,2,1,0,-1,-1,4,6,2016
3108,1980,2,1,0,-1,-1,4,6,2016
3120,1982,2,0,0,-1,-1,4,6,2016
3129,1982,2,1,0,0,1,5,5,2016
3160,1980,2,1,0,-1,-1,4,6,2016
3161,1983,2,1,1,-1,-1,4,6,2016
3164,1980,1,0,0,2,1,4,5,2016
3166,1981,2,1,1,0,1,4,5,2016
3175,1981,2,1,1,2,2,4,5,2016
3203,1982,2,1,1,0,1,4,5,2016
3258,1980,2,1,1,0,1,4,5,2016
3304,1984,2,1,0,-1,-1,4,6,2016
3314,1986,2,1,0,-1,-1,4,6,2016
3319,1984,2,1,0,2,1,4,5,2016
3341,1983,2,1,0,2,1,4,5,2016
3345,1984,1,1,1,0,1,4,5,2016
3361,1984,2,1,0,-1,-1,4,6,2016
3383,1979,2,1,0,-1,-1,4,6,2016
3395,1990,1,0,1,2,1,4,5,2016
3478,1984,2,2,1,2,1,4,5,2016
3493,1989,2,1,0,-1,-1,4,6,2016
3502,1982,2,1,0,0,1,4,5,2016
3511,1982,1,0,0,0,1,5,5,2016
3583,1980,2,1,0,0,2,4,5,2016
3584,1979,2,1,0,0,1,4,5,2016
3657,1988,2,1,0,-1,-1,4,6,2016
3661,1978,1,1,1,2,1,4,5,2016
3705,1978,2,1,0,-1,-1,4,6,2016
3734,1982,2,1,0,0,1,4,5,2016
3736,1988,2,0,0,-1,-1,4,6,2016
3737,1991,2,1,1,2,1,4,5,2016
3750,1981,1,0,0,2,1,4,5,2016
3781,1982,1,0,0,0,1,4,5,2016
3790,1979,2,1,0,-1,-1,4,6,2016
3798,1978,1,1,0,1,1,4,5,2016
3799,1985,2,0,0,-1,-1,4,6,2016
3823,1979,1,0,0,0,1,4,5,2016
3860,1984,1,0,0,1,1,4,5,2016
3869,1983,1,1,1,0,1,4,5,2016
3890,1985,2,1,1,0,1,4,5,2016
3913,1983,1,0,0,1,1,5,5,2016
3921,1983,2,1,0,-1,-1,4,6,2016
3935,1983,2,1,0,-1,-1,4,6,2016
3938,1980,2,1,0,-1,-1,5,6,2016
3965,1981,1,1,0,0,1,4,5,2016
3971,1982,2,0,0,-1,-1,4,6,2016
3985,1979,2,1,1,0,1,5,5,2016
4026,1983,2,1,0,0,2,4,5,2016
4032,1982,1,1,2,0,1,4,5,2016
4040,1980,1,1,0,0,1,4,5,2016
4041,1982,1,0,0,1,1,4,5,2016
4045,1983,2,1,0,-1,-1,4,6,2016
4046,1981,1,0,0,0,1,4,5,2016
4061,1987,2,1,0,-1,-1,4,6,2016
4071,1983,1,1,1,2,1,4,5,2016
4129,1978,1,0,0,0,1,4,5,2016
4130,1980,2,1,0,2,1,5,5,2016
4157,1985,2,1,1,2,1,4,5,2016
4184,1982,1,0,0,2,2,4,5,2016
