"","y14b225","w14edu","sampid","y14g101","y14a034","y14a065","y14a080","y14b308","y14b156z","y14b161","w14type","y14f310","y14b22","y14g7"
"1143",3400,4,3214,1,NA,NA,NA,1,4,1,5,4,110132.7,384142319
"1144",4500,4,3215,1,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"1145",180,4,3226,1,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"1146",250,4,3227,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1147",250,4,3229,1,NA,NA,NA,1,3,1,5,1,110132.7,384142319
"1148",NA,4,3235,2,NA,NA,NA,NA,NA,NA,6,3,110132.7,384142319
"1149",6500,4,3238,2,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"1150",5000,4,3239,2,NA,NA,NA,1,0,1,5,5,110132.7,384142319
"1151",3600,4,3244,2,NA,NA,NA,1,0,1,5,5,110132.7,384142319
"1152",280,4,3247,2,NA,NA,NA,1,4,1,5,5,110132.7,384142319
"1153",250,4,3255,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1154",320,4,3258,2,NA,NA,NA,1,0,1,5,4,110132.7,384142319
"1155",250,4,3261,2,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"1156",162,4,3262,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1157",140,4,3263,1,NA,NA,NA,2,2,1,5,1,110132.7,384142319
"1158",NA,4,3268,1,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1159",210,4,3271,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1160",350,4,3274,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1161",4000,4,3275,1,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"1162",3000,4,3276,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1163",NA,5,3277,1,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"1164",250,4,3278,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1165",NA,NA,3279,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1166",2400,4,3290,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1167",NA,4,3292,1,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1168",3900,4,3293,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1169",NA,NA,3294,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1170",180,4,3297,1,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"1171",6000,4,3298,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1172",NA,4,3304,2,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1173",4400,4,3306,2,NA,NA,NA,1,2,1,5,2,110132.7,384142319
"1174",3500,4,3310,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1175",5000,4,3314,2,NA,NA,NA,1,1,1,5,5,110132.7,384142319
