"","y12b224","y12b225","w12edu","sampid","y12g101","y12a034","y12a065","y12a080","y12b308","y12b156z","y12b161","w12type","y12f310","y12g500","y12b22","y12g7"
"1",NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,6,4,2,NA,3000
"2",2,240,4,3,1,NA,NA,NA,1,1,1,5,1,2,40,3500
"3",1,3600,4,9,2,NA,NA,NA,1,2,1,5,1,1,45,3000
"4",2,200,4,12,1,NA,NA,NA,1,0,1,5,2,2,40,3000
"5",2,220,4,15,2,NA,NA,NA,1,8,1,5,1,2,40,3000
"6",NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2,350,4,21,1,NA,NA,NA,1,0,1,5,2,2,40,5000
"8",2,270,4,22,1,NA,NA,NA,1,0,1,5,2,2,45,3500
"9",2,250,4,23,1,NA,NA,NA,1,6,1,5,2,2,45,3000
"10",2,290,4,26,1,NA,NA,NA,1,3,1,5,1,2,40,4000
"11",NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2,300,4,30,2,NA,NA,NA,1,2,1,5,2,1,40,5000
"13",1,3000,4,32,1,NA,NA,NA,NA,4,5,5,2,2,30,3500
"14",1,4000,4,33,2,NA,NA,NA,1,2,1,5,2,2,40,4000
"15",2,9090908,4,36,2,NA,NA,NA,1,2,1,5,2,1,40,5000
"16",2,150,4,37,2,NA,NA,NA,2,0,1,5,2,1,40,3000
"17",2,170,4,38,2,NA,NA,NA,1,2,1,5,2,1,45,2500
"18",1,3500,4,40,1,NA,NA,NA,NA,6,5,5,1,2,40,4000
"19",NA,NA,4,41,1,NA,NA,NA,NA,NA,NA,6,1,2,NA,3000
"20",2,200,4,43,1,NA,NA,NA,1,0,1,5,2,2,40,2800
"21",NA,NA,4,45,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,2500
"22",NA,NA,5,51,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3000
"23",2,188,4,52,1,NA,NA,NA,2,5,2,5,2,2,40,3000
"24",2,250,4,63,1,NA,NA,NA,1,0,1,5,1,2,40,3500
"25",NA,NA,4,64,2,NA,NA,NA,NA,NA,NA,6,2,2,NA,7000
"26",NA,NA,4,68,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,2400
"27",2,250,4,69,2,NA,NA,NA,1,8,1,5,2,1,40,5000
"28",NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1,2800,4,75,1,NA,NA,NA,1,6,1,5,2,2,45,3500
"30",2,200,4,76,1,NA,NA,NA,NA,6,5,5,2,2,84,3000
"31",2,350,4,79,2,NA,NA,NA,NA,6,5,5,2,1,48,5000
"32",2,9090908,5,81,2,NA,NA,NA,1,0,1,5,2,1,45,5000
"33",1,7800,4,84,2,NA,NA,NA,1,0,1,5,1,1,40,8000
"34",NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2,280,4,87,1,NA,NA,NA,1,6,1,5,1,2,40,3000
"36",NA,NA,4,92,2,NA,NA,NA,NA,NA,NA,6,1,2,NA,3000
"37",1,4800,4,94,1,NA,NA,NA,1,1,1,5,2,2,40,5500
"38",2,250,4,95,2,NA,NA,NA,1,2,1,5,1,1,20,2000
"39",1,2180,4,104,1,NA,NA,NA,1,8,1,5,4,2,50,2300
"40",1,2100,4,108,2,NA,NA,NA,1,1,1,5,2,1,45,1800
"41",2,9090908,4,114,1,NA,NA,NA,1,0,1,5,2,2,40,5000
"42",1,2650,4,117,1,NA,NA,NA,1,0,1,5,2,2,40,2600
"43",NA,NA,NA,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1,9000,4,122,2,NA,NA,NA,1,1,1,5,1,1,40,6000
"45",NA,NA,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,4,134,1,NA,NA,NA,NA,NA,NA,6,1,2,NA,2400
"47",1,4000,4,138,1,NA,NA,NA,NA,4,5,5,1,2,60,3000
"48",1,3600,4,140,1,NA,NA,NA,1,0,1,5,1,2,40,3000
"49",NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2,180,4,148,1,NA,NA,NA,1,0,1,5,4,2,40,2200
"51",2,200,4,150,1,NA,NA,NA,NA,4,5,5,3,2,60,1500
"52",1,2800,4,155,1,NA,NA,NA,1,0,1,5,2,2,45,3000
"53",NA,NA,4,156,1,2,1,5,NA,NA,NA,4,NA,2,NA,NA
"54",2,100,4,158,2,NA,NA,NA,NA,4,5,5,2,2,50,3500
"55",NA,NA,4,166,1,NA,NA,NA,NA,NA,NA,6,4,2,NA,2100
"56",NA,NA,NA,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1,4400,4,179,1,NA,NA,NA,1,4,1,5,4,2,50,4500
"58",1,8000,4,185,2,NA,NA,NA,1,1,1,5,1,2,40,6000
"59",2,406,4,187,2,NA,NA,NA,1,1,1,5,2,1,55,6000
"60",NA,NA,4,188,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,3000
"61",1,9090908,4,193,1,NA,NA,NA,1,1,1,5,1,2,40,8000
"62",1,3800,4,194,1,NA,NA,NA,1,2,1,5,3,2,50,4100
"63",NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2,100,4,199,1,NA,NA,NA,1,0,1,5,4,2,26,3000
"65",1,5000,5,201,2,NA,NA,NA,NA,2,5,5,1,2,30,5000
"66",1,2100,4,202,2,NA,NA,NA,1,0,1,5,4,2,50,2500
"67",NA,NA,4,212,1,NA,NA,NA,NA,NA,NA,6,4,2,NA,3000
"68",1,6900,5,213,2,NA,NA,NA,1,1,1,5,2,1,35,8000
"69",2,150,4,214,1,NA,NA,NA,1,0,1,5,1,2,45,6000
"70",1,3360,4,216,1,NA,NA,NA,1,3,1,5,1,2,41,3300
"71",1,9090908,4,217,1,NA,NA,NA,1,4,1,5,1,2,40,6000
"72",NA,NA,NA,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2,200,4,222,1,NA,NA,NA,2,2,2,5,1,2,42,3000
"75",1,3500,4,223,1,NA,NA,NA,1,0,1,5,2,2,53,3700
"76",1,9090908,4,224,1,NA,NA,NA,1,0,1,5,2,2,40,6000
"77",1,4500,4,231,1,NA,NA,NA,1,1,1,5,2,2,50,4000
"78",NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2,200,4,247,2,NA,NA,NA,NA,7,5,5,1,1,40,6000
"80",1,4000,4,248,1,NA,NA,NA,1,1,1,5,2,2,42,2500
"81",1,4900,4,249,1,NA,NA,NA,1,1,1,5,2,2,42,5500
"82",1,5300,4,254,2,NA,NA,NA,1,1,1,5,3,1,52,6000
"83",1,5000,4,255,2,NA,NA,NA,1,0,1,5,2,1,45,5000
"84",1,5000,4,257,2,NA,NA,NA,1,6,1,5,1,1,40,5000
"85",NA,NA,4,258,1,NA,NA,NA,NA,NA,NA,6,3,2,NA,2500
"86",2,200,4,270,1,NA,NA,NA,2,2,1,5,2,2,40,3000
"87",NA,NA,4,272,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,1500
"88",NA,NA,4,277,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,9000
"89",2,200,4,278,2,NA,NA,NA,NA,2,5,5,2,1,20,1700
"90",2,170,4,280,2,NA,NA,NA,2,0,2,5,2,2,40,2800
"91",1,2500,4,281,1,NA,NA,NA,1,1,1,5,2,2,40,2700
"92",NA,NA,4,282,1,NA,NA,NA,NA,NA,NA,6,1,2,NA,9090909
"93",2,220,4,283,1,NA,NA,NA,1,0,1,5,2,2,40,3000
"94",1,3000,4,285,1,NA,NA,NA,1,2,1,5,2,2,45,3500
"95",1,1800,4,287,2,NA,NA,NA,1,0,1,5,2,1,21,3500
"96",2,450,4,290,2,NA,NA,NA,1,0,1,5,1,1,40,5500
"97",1,3300,4,292,1,NA,NA,NA,1,4,1,5,2,2,52,3500
"98",2,100,4,296,1,NA,NA,NA,2,2,2,5,1,2,3,9000
"99",2,200,4,312,1,NA,NA,NA,NA,4,5,5,2,2,60,3600
"100",NA,NA,4,313,1,4,2,5,NA,NA,NA,4,1,2,NA,NA
"101",NA,NA,4,315,2,NA,NA,NA,NA,NA,NA,6,1,1,NA,3500
"102",NA,NA,NA,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,4,328,2,NA,NA,NA,NA,NA,NA,6,4,1,NA,2000
"105",NA,NA,NA,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,4,338,1,NA,NA,NA,NA,NA,NA,6,4,2,NA,2500
"107",2,350,4,360,2,NA,NA,NA,1,0,1,5,4,2,50,4000
"108",1,3500,4,361,2,NA,NA,NA,1,4,1,5,9090908,2,42,3800
"109",1,7500,4,362,2,NA,NA,NA,1,0,1,5,2,1,50,8000
"110",2,320,4,363,1,NA,NA,NA,1,3,1,5,1,2,54,4000
