"","y13b224","y13b225","w13edu","sampid","y13g101","y13a034","y13a065","y13a080","y13b308","y13b156z","y13b161","w13type","y13f310","y13g500","y13b22","y13g7"
"3122",2,700,5,9049,2,NA,NA,NA,1,3,1,5,1,1,44,10000
"3123",2,220,4,9050,1,NA,NA,NA,1,6,2,5,2,2,60,2200
"3124",1,5700,4,9053,2,NA,NA,NA,1,1,1,5,1,1,52,6000
"3125",1,4000,4,9054,2,NA,NA,NA,1,0,1,5,1,1,40,4000
"3126",NA,NA,4,9059,2,6,2,5,NA,NA,NA,4,1,1,NA,NA
"3127",2,300,4,9060,1,NA,NA,NA,1,2,1,5,1,2,40,3000
"3128",1,5000,4,9066,2,NA,NA,NA,1,8,1,5,1,1,40,5000
"3129",2,450,4,9067,2,NA,NA,NA,1,1,1,5,2,1,40,5000
"3130",1,3300,4,9068,2,NA,NA,NA,1,0,1,5,3,2,40,3500
"3131",NA,NA,4,9071,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,9090908
"3132",NA,NA,4,9072,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,4000
"3133",NA,NA,4,9074,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,2800
"3134",NA,NA,NA,9076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3135",2,250,5,9078,1,NA,NA,NA,2,1,2,5,1,2,40,3000
"3136",2,200,4,9082,1,NA,NA,NA,NA,5,5,5,2,2,56,3000
"3137",1,2800,4,9085,1,NA,NA,NA,1,6,1,5,4,2,40,3000
"3138",2,300,4,9086,1,NA,NA,NA,1,2,1,5,2,2,45,4000
"3139",1,7000,4,9089,2,NA,NA,NA,1,1,1,5,1,1,40,4800
"3140",NA,NA,4,9090,2,NA,NA,NA,NA,NA,NA,6,3,1,NA,2400
"3141",2,500,4,9093,2,NA,NA,NA,1,0,1,5,4,2,40,6000
"3142",NA,NA,5,9094,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,3000
"3143",1,3200,5,9100,2,NA,NA,NA,1,0,1,5,1,1,40,2500
"3144",2,350,4,9103,2,NA,NA,NA,1,0,1,5,2,2,40,5000
"3145",2,200,4,9104,2,NA,NA,NA,NA,2,5,5,2,2,18,3000
"3146",1,4000,4,9108,1,NA,NA,NA,1,0,1,5,1,2,40,3000
"3147",2,300,4,9112,1,NA,NA,NA,1,4,1,5,5,2,45,3000
"3148",2,280,4,9113,1,NA,NA,NA,1,3,1,5,1,2,45,2500
"3149",NA,NA,4,9115,2,NA,NA,NA,NA,NA,NA,6,4,2,NA,2400
"3150",1,4000,4,9120,1,NA,NA,NA,1,1,1,5,2,2,42,5000
"3151",NA,NA,5,9122,2,NA,NA,NA,NA,NA,NA,6,2,2,NA,3100
"3152",NA,NA,4,9127,2,NA,NA,NA,NA,NA,NA,6,1,2,NA,3600
"3153",2,300,4,9128,2,NA,NA,NA,1,2,1,5,2,1,40,2000
"3154",2,250,4,9129,1,NA,NA,NA,1,0,1,5,2,2,40,2000
"3155",2,220,4,9132,2,NA,NA,NA,1,8,1,5,1,2,48,2400
"3156",1,8000,4,9134,2,NA,NA,NA,1,1,1,5,1,2,40,5000
"3157",1,4000,4,9142,1,NA,NA,NA,1,8,1,5,2,2,40,4000
"3158",NA,NA,4,9147,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,2500
"3159",1,7000,4,9151,2,NA,NA,NA,1,0,1,5,1,1,60,10000
"3160",1,2500,4,9155,2,NA,NA,NA,1,0,1,5,1,1,40,2000
"3161",1,3200,4,9156,1,NA,NA,NA,1,0,1,5,2,2,40,3000
"3162",1,5500,4,9158,2,NA,NA,NA,1,0,1,5,2,2,40,5000
"3163",1,3000,4,9159,1,NA,NA,NA,1,1,1,5,2,2,40,3000
"3164",NA,NA,NA,9161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3165",2,350,4,9163,2,NA,NA,NA,1,0,1,5,2,1,50,4000
"3166",1,2800,4,9165,1,NA,NA,NA,1,1,1,5,2,2,40,2400
"3167",1,6000,4,9168,2,NA,NA,NA,1,0,1,5,2,2,48,7000
"3168",2,200,5,9169,1,NA,NA,NA,1,4,1,5,5,2,40,1300
"3169",2,400,4,9173,1,NA,NA,NA,1,8,1,5,2,2,40,4800
"3170",1,4000,4,9175,2,NA,NA,NA,1,2,1,5,3,1,40,3000
"3171",NA,NA,NA,9176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3172",1,2500,4,9182,2,NA,NA,NA,NA,6,5,5,2,1,50,3500
"3173",2,200,4,9184,1,NA,NA,NA,1,4,1,5,2,2,40,3000
"3174",NA,NA,NA,9186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3175",1,4500,4,9188,1,NA,NA,NA,1,0,1,5,1,2,40,2000
"3176",2,400,4,9192,1,NA,NA,NA,1,0,1,5,2,2,45,4000
"3177",NA,NA,NA,9193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3178",NA,NA,4,9195,2,NA,NA,NA,NA,NA,NA,6,2,2,NA,2400
"3179",1,7450,5,9196,2,NA,NA,NA,1,4,1,5,1,2,40,7000
"3180",1,2800,4,9197,1,NA,NA,NA,1,6,1,5,3,2,40,3600
"3181",1,5000,4,9199,2,NA,NA,NA,1,1,1,5,1,1,40,3500
"3182",2,280,4,9200,1,NA,NA,NA,1,2,1,5,1,2,40,3000
