"id","출생연도","성별","배우자월평균소득_400미만","아이양육자","직업군대분류","고용형태","최종학력","취업유무","조사연도","g115"
"738",1979,1,0,0,-1,-1,0,0,2016,8
"769",1980,1,1,0,2,1,0,1,2016,6
"769",1980,1,1,1,2,1,0,1,2017,6
"770",1983,1,0,1,0,1,0,1,2016,7
"770",1983,1,1,1,0,1,0,1,2017,5
"770",1983,1,1,1,0,1,0,1,2018,6
"770",1983,1,1,1,1,1,0,1,2019,6
"770",1983,1,1,1,1,1,0,1,2020,5
"771",1980,1,0,0,-1,-1,0,0,2016,8
"771",1980,1,0,0,-1,-1,0,0,2017,8
"771",1980,1,0,0,-1,-1,0,0,2018,8
"771",1980,1,1,0,-1,-1,0,0,2020,0
"772",1985,1,1,0,-1,-1,0,0,2016,0
"772",1985,1,1,0,-1,-1,0,0,2017,6
"772",1985,1,0,0,-1,-1,0,0,2018,7
"772",1985,1,0,0,-1,-1,0,0,2019,8
"772",1985,1,0,0,-1,-1,0,0,2020,9
"778",1981,0,1,0,0,1,0,1,2016,0
"778",1981,0,1,0,0,1,0,1,2017,0
"778",1981,0,1,0,0,1,0,1,2018,0
"778",1981,0,1,0,0,1,0,1,2019,0
"778",1981,0,1,0,0,1,0,1,2020,0
"846",1984,0,1,0,2,1,1,1,2016,0
"846",1984,0,1,0,2,1,1,1,2018,0
"846",1984,0,1,0,2,1,1,1,2019,0
"846",1984,0,1,0,2,1,1,1,2020,0
"855",1979,1,0,0,-1,-1,1,0,2016,7
"855",1979,1,1,0,2,1,1,1,2018,5
"855",1979,1,1,1,2,1,1,1,2020,6
"883",1981,1,0,1,0,1,0,1,2016,7
"883",1981,1,0,1,0,1,0,1,2017,7
"883",1981,1,0,0,-1,-1,0,0,2018,7
"885",1981,1,1,1,0,1,1,1,2016,5
"885",1981,1,1,1,0,1,1,1,2017,5
"885",1981,1,1,1,0,1,1,1,2019,4
"885",1981,1,1,1,0,1,1,1,2020,6
"894",1984,1,0,0,-1,-1,0,0,2016,7
"894",1984,1,0,1,-1,-1,0,0,2017,7
"894",1984,1,0,0,2,2,0,1,2018,7
"894",1984,1,0,1,-1,-1,0,0,2019,7
"894",1984,1,1,0,0,2,0,1,2020,0
"895",1980,0,1,0,1,1,0,1,2016,0
"895",1980,0,1,0,1,1,0,1,2017,0
"895",1980,0,1,0,1,1,0,1,2018,0
"895",1980,0,1,0,1,1,0,1,2019,0
"913",1979,0,1,0,1,1,1,1,2016,6
"914",1982,0,1,1,2,1,0,1,2016,6
"914",1982,0,1,0,2,1,0,1,2017,6
"923",1984,0,1,0,0,1,0,1,2016,0
"923",1984,0,1,0,0,1,0,1,2017,0
"923",1984,0,1,0,0,1,0,1,2018,0
"952",1981,1,1,0,0,1,0,1,2016,6
"952",1981,1,1,0,0,1,0,1,2017,6
"975",1983,1,1,0,0,1,0,1,2016,4
"975",1983,1,1,0,0,1,0,1,2017,5
"975",1983,1,1,0,0,1,0,1,2018,5
"975",1983,1,0,0,0,1,0,1,2019,7
"975",1983,1,1,1,0,1,0,1,2020,6
"982",1978,1,0,0,-1,-1,0,0,2016,7
"982",1978,1,0,0,-1,-1,0,0,2017,7
"995",1980,0,1,0,2,1,0,1,2016,0
"995",1980,0,1,0,2,1,0,1,2017,0
"995",1980,0,1,0,2,1,0,1,2018,0
"1059",1983,1,1,0,-1,-1,0,0,2016,0
"1059",1983,1,1,0,-1,-1,0,0,2017,0
"1059",1983,1,0,0,-1,-1,0,0,2018,7
"1061",1985,1,0,0,-1,-1,0,0,2016,7
"1070",1989,1,1,0,-1,-1,0,0,2016,6
"1106",1983,1,1,0,2,2,0,1,2016,1
"1106",1983,1,1,0,2,2,0,1,2017,2
"1106",1983,1,1,0,2,1,0,1,2018,1
"1109",1985,1,1,0,2,2,0,1,2016,6
"1109",1985,1,1,0,2,2,0,1,2017,6
"1119",1978,1,1,0,0,1,0,1,2016,6
"1119",1978,1,0,0,0,1,0,1,2020,8
"1148",1987,1,1,0,-1,-1,0,0,2017,4
"1148",1987,1,1,0,-1,-1,0,0,2018,4
"1148",1987,1,1,1,-1,-1,0,0,2019,4
"1148",1987,1,1,1,-1,-1,0,0,2020,4
"1166",1980,0,1,0,-1,-1,1,0,2016,4
"1166",1980,0,1,1,2,2,1,1,2017,5
"1166",1980,0,1,0,2,2,1,1,2018,5
"1188",1981,0,1,1,0,1,0,1,2016,0
"1188",1981,0,1,0,0,1,0,1,2017,0
"1188",1981,0,1,0,0,1,0,1,2018,0
"1188",1981,0,1,1,0,1,0,1,2019,0
"1188",1981,0,1,0,0,1,0,1,2020,0
"1189",1980,0,1,0,0,1,0,1,2016,0
"1189",1980,0,1,0,0,1,0,1,2017,0
"1189",1980,0,1,0,0,1,0,1,2018,0
"1189",1980,0,1,0,0,1,0,1,2019,0
"1189",1980,0,1,0,0,1,0,1,2020,0
"1215",1986,1,1,0,2,1,1,1,2016,6
"1215",1986,1,1,0,2,1,1,1,2017,6
"1215",1986,1,1,0,2,1,1,1,2018,6
"1245",1983,0,1,0,0,1,0,1,2016,0
"1245",1983,0,1,0,0,1,0,1,2017,1
"1245",1983,0,1,0,0,1,0,1,2018,0
"1245",1983,0,1,0,0,1,0,1,2019,0
"1245",1983,0,1,0,0,1,0,1,2020,2
"1296",1979,1,1,0,-1,-1,0,0,2016,0
"1297",1980,1,0,0,0,1,0,1,2016,7
"1314",1978,0,1,0,1,1,0,1,2016,0
"1314",1978,0,1,1,1,1,0,1,2017,6
"1314",1978,0,1,0,1,1,0,1,2018,6
"1314",1978,0,1,0,1,1,0,1,2019,6
"1315",1980,0,1,0,1,1,1,1,2016,0
"1315",1980,0,1,0,1,1,1,1,2017,6
"1315",1980,0,1,0,1,1,1,1,2018,6
"1315",1980,0,1,0,1,1,1,1,2019,6
"1315",1980,0,1,0,1,1,1,1,2020,0
"1317",1983,0,1,0,0,1,0,1,2016,0
"1317",1983,0,1,0,0,1,0,1,2017,6
"1317",1983,0,1,0,0,1,0,1,2018,6
"1317",1983,0,1,0,0,1,0,1,2019,0
"1317",1983,0,1,0,0,1,0,1,2020,0
"1326",1980,1,0,0,0,1,0,1,2016,8
"1326",1980,1,0,0,0,1,0,1,2017,7
