"","y11b224","y11b225","w11edu","sampid","y11g101","y11a034","y11a065","y11a080","y11b308","y11b156z","y11b161","w11type","y11f310","y11g500","y11b22","y11g7"
"1",NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,2500
"2",2,240,4,3,1,NA,NA,NA,1,1,1,5,1,2,40,3000
"3",2,230,4,9,2,NA,NA,NA,1,2,1,5,1,1,40,3000
"4",2,200,4,12,1,NA,NA,NA,1,0,1,5,1,2,40,2400
"5",2,200,4,15,1,NA,NA,NA,1,8,1,5,2,2,40,2000
"6",2,230,4,16,1,NA,NA,NA,1,0,1,5,1,2,45,2500
"7",2,350,4,21,1,NA,NA,NA,1,0,1,5,1,2,40,4000
"8",2,250,4,22,1,NA,NA,NA,1,0,1,5,2,2,40,3000
"9",2,200,4,23,1,NA,NA,NA,1,6,1,5,2,2,45,2500
"10",2,290,4,26,1,NA,NA,NA,1,3,1,5,2,2,45,3500
"11",2,200,4,27,1,NA,NA,NA,1,0,1,5,6,2,40,3000
"12",2,250,4,30,2,NA,NA,NA,1,2,1,5,4,2,40,3000
"13",2,180,4,32,1,NA,NA,NA,2,4,1,5,1,2,32,2500
"14",2,300,4,33,1,NA,NA,NA,1,2,1,5,1,2,40,3000
"15",2,350,4,36,2,NA,NA,NA,1,2,1,5,1,1,40,5000
"16",2,150,4,37,2,NA,NA,NA,1,0,1,5,2,1,40,2500
"17",2,170,4,38,2,NA,NA,NA,1,2,1,5,2,1,45,2000
"18",2,150,4,40,1,NA,NA,NA,NA,6,5,5,2,2,40,2000
"19",NA,NA,4,41,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,2500
"20",2,200,4,43,1,NA,NA,NA,1,0,1,5,1,2,40,2400
"21",NA,NA,4,45,2,NA,NA,NA,NA,NA,NA,6,1,1,NA,2500
"22",NA,NA,4,51,1,2,1,5,NA,NA,NA,4,2,2,NA,NA
"23",2,130,4,52,1,NA,NA,NA,2,0,2,5,2,2,40,2000
"24",2,220,4,63,1,NA,NA,NA,1,0,1,5,1,2,40,2500
"25",NA,NA,4,64,2,NA,NA,NA,NA,NA,NA,6,1,2,NA,5000
"26",NA,NA,4,68,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,1800
"27",2,250,4,69,2,NA,NA,NA,1,8,1,5,1,1,40,3000
"28",NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2,180,4,75,1,NA,NA,NA,1,6,1,5,1,2,51,2000
"30",2,300,4,76,1,NA,NA,NA,NA,6,5,5,2,2,84,3000
"31",2,300,4,79,2,NA,NA,NA,NA,6,5,5,1,1,40,3500
"32",2,270,5,81,2,NA,NA,NA,1,0,1,5,1,1,40,3500
"33",1,7500,4,84,2,NA,NA,NA,1,0,1,5,2,1,40,8500
"34",NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2,200,4,87,1,NA,NA,NA,1,6,1,5,1,2,40,2400
"36",NA,NA,4,92,2,NA,NA,NA,NA,NA,NA,6,1,2,NA,2500
"37",1,4600,4,94,1,NA,NA,NA,1,1,1,5,4,2,40,4500
"38",2,150,4,95,2,NA,NA,NA,1,2,1,5,1,1,20,2500
"39",2,250,4,104,1,NA,NA,NA,1,0,1,5,1,2,40,3000
"40",1,2700,4,108,2,NA,NA,NA,1,0,1,5,3,1,43,2000
"41",2,350,4,114,1,NA,NA,NA,2,0,1,5,2,2,46,4500
"42",2,172,4,117,1,NA,NA,NA,1,0,1,5,4,2,40,2000
"43",2,150,4,119,1,NA,NA,NA,1,0,1,5,1,2,40,2000
"44",1,6000,4,122,2,NA,NA,NA,1,1,1,5,1,1,40,6000
"45",NA,NA,4,123,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3600
"46",1,3500,4,134,1,NA,NA,NA,1,0,1,5,1,2,40,2400
"47",2,350,4,138,1,NA,NA,NA,NA,4,5,5,2,2,60,2500
"48",1,4000,4,140,1,NA,NA,NA,1,0,1,5,1,2,40,3000
"49",2,400,4,144,1,NA,NA,NA,1,1,1,5,1,2,40,4000
"50",2,200,4,148,1,NA,NA,NA,1,0,1,5,1,2,40,2000
"51",1,3000,4,150,1,NA,NA,NA,NA,4,5,5,4,2,60,1800
"52",1,3000,4,155,1,NA,NA,NA,1,0,1,5,2,2,41,3000
"53",NA,NA,4,156,1,2,1,5,NA,NA,NA,4,NA,2,NA,NA
"54",NA,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,4,166,1,NA,NA,NA,NA,NA,NA,6,4,2,NA,2600
"56",NA,NA,NA,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1,4000,4,179,1,NA,NA,NA,1,4,1,5,1,2,40,3500
"58",NA,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1,5500,4,187,2,NA,NA,NA,1,1,1,5,2,1,50,6500
"60",NA,NA,4,188,2,NA,NA,NA,NA,NA,NA,6,3,1,NA,4000
"61",1,5000,4,193,1,NA,NA,NA,1,1,1,5,1,2,40,5500
"62",NA,NA,4,194,1,NA,NA,NA,NA,NA,NA,6,1,2,NA,3600
"63",NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,4,199,1,NA,NA,NA,NA,NA,NA,6,4,2,NA,3000
"65",1,5000,5,201,2,NA,NA,NA,NA,2,5,5,1,2,30,6000
"66",NA,NA,4,202,1,NA,NA,NA,NA,NA,NA,6,6,2,NA,2500
"67",NA,NA,4,212,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3000
"68",2,400,5,213,2,NA,NA,NA,1,1,1,5,2,1,35,7200
"69",2,180,4,214,1,NA,NA,NA,1,0,1,5,2,2,45,2500
"70",1,3240,4,216,1,NA,NA,NA,1,3,1,5,1,2,40,2200
"71",1,2600,4,217,1,NA,NA,NA,1,4,1,5,1,2,40,3600
"72",NA,NA,NA,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2,240,5,219,2,NA,NA,NA,2,2,2,5,2,2,66,4000
"74",2,150,4,222,1,NA,NA,NA,1,2,1,5,4,2,22,3000
"75",1,2800,4,223,1,NA,NA,NA,1,0,1,5,2,2,47,3000
"76",1,2400,4,224,1,NA,NA,NA,1,0,1,5,1,2,40,3300
"77",1,3900,4,231,1,NA,NA,NA,1,1,1,5,2,2,50,3900
"78",NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2,250,4,247,2,NA,NA,NA,NA,4,5,5,5,1,40,2000
"80",1,3000,4,248,1,NA,NA,NA,1,1,1,5,4,2,42,3000
"81",1,4500,4,249,1,NA,NA,NA,1,1,1,5,5,2,48,2000
"82",1,6000,4,254,2,NA,NA,NA,1,1,1,5,3,2,45,6500
"83",1,4300,4,255,2,NA,NA,NA,1,0,1,5,2,1,45,4000
"84",1,6000,4,257,2,NA,NA,NA,1,6,1,5,1,1,40,5000
"85",1,3000,4,258,1,NA,NA,NA,1,8,1,5,4,2,66,2500
"86",1,2500,4,270,1,NA,NA,NA,1,2,1,5,4,2,40,2000
"87",1,2200,4,272,1,NA,NA,NA,1,4,1,5,4,2,42,1800
"88",1,3840,4,277,2,NA,NA,NA,2,3,1,5,2,1,46,6000
"89",NA,NA,4,278,2,NA,NA,NA,NA,NA,NA,6,5,1,NA,3000
"90",1,3000,4,280,1,NA,NA,NA,1,0,1,5,1,2,40,2000
"91",1,2700,4,281,1,NA,NA,NA,1,1,1,5,3,2,40,4000
"92",NA,NA,4,282,1,NA,NA,NA,NA,NA,NA,6,1,2,NA,3500
"93",2,200,4,283,1,NA,NA,NA,1,0,1,5,1,2,40,2400
"94",2,180,4,285,1,NA,NA,NA,1,2,1,5,2,2,40,3000
"95",1,3600,4,287,2,NA,NA,NA,1,0,1,5,2,1,50,3000
"96",2,450,4,290,2,NA,NA,NA,1,0,1,5,1,1,40,5500
