"","y10b224","y10b225","yob","gender","w10edu","sampid","y10a034","y10g101","y10a065","y10a080","y10b308","y10b156z","y10b161","w10type","y10f310","y10g500","y10b22","y10g7"
"1",NA,NA,1990,1,4,1,NA,1,NA,NA,NA,NA,NA,6,1,2,NA,2400
"2",2,200,1980,1,4,3,NA,1,NA,NA,1,8,1,5,2,2,40,2400
"3",2,230,1980,2,4,9,NA,2,NA,NA,1,2,1,5,1,1,40,3000
"4",2,150,1988,2,4,12,NA,1,NA,NA,1,2,1,5,2,2,40,2400
"5",2,200,1983,1,4,15,NA,1,NA,NA,1,8,1,5,2,2,40,1800
"6",2,200,1981,2,4,16,NA,1,NA,NA,1,0,1,5,2,2,50,2400
"7",2,350,1990,1,4,21,NA,1,NA,NA,1,0,1,5,1,2,40,3000
"8",1,3000,1992,2,4,22,NA,1,NA,NA,1,0,1,5,1,2,48,2500
"9",2,180,1988,1,4,23,NA,1,NA,NA,1,6,1,5,1,2,50,3000
"10",2,270,1992,2,4,26,NA,1,NA,NA,1,3,1,5,1,2,45,2400
"11",2,200,1992,1,4,27,NA,1,NA,NA,1,0,1,5,1,2,40,3800
"12",1,4500,1978,1,4,30,NA,2,NA,NA,1,2,1,5,1,2,48,3000
"13",2,140,1992,2,4,32,NA,1,NA,NA,1,0,1,5,2,2,40,2400
"14",2,200,1987,1,4,33,NA,1,NA,NA,1,2,1,5,1,2,40,1800
"15",2,350,1979,1,4,36,NA,2,NA,NA,1,2,1,5,1,1,40,2400
"16",2,150,1978,2,4,37,NA,2,NA,NA,1,0,1,5,1,1,40,2400
"17",2,170,1979,2,4,38,NA,2,NA,NA,1,2,1,5,1,1,45,1800
"18",1,416.666666666667,1984,1,4,40,NA,1,NA,NA,NA,6,5,5,1,2,40,4500
"19",NA,NA,1987,1,4,41,NA,1,NA,NA,NA,NA,NA,6,1,2,NA,2500
"20",2,200,1989,2,4,43,NA,1,NA,NA,1,0,1,5,1,2,40,2400
"21",NA,NA,1981,2,4,45,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,3000
"22",NA,NA,1992,2,4,51,2,1,1,5,NA,NA,NA,4,3,2,NA,NA
"23",2,120,1991,1,4,52,NA,1,NA,NA,2,0,2,5,4,2,40,2400
"24",NA,NA,1992,2,4,63,2,1,1,1,NA,NA,NA,3,1,2,NA,NA
"25",NA,NA,1985,2,4,64,NA,2,NA,NA,NA,NA,NA,6,1,2,NA,6000
"26",NA,NA,1979,2,4,68,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,1800
"27",2,250,1983,1,4,69,NA,2,NA,NA,1,8,1,5,2,1,45,2500
"28",2,250,1987,2,4,72,NA,1,NA,NA,1,4,1,5,2,2,40,2000
"29",2,200,1991,1,4,75,NA,1,NA,NA,1,6,1,5,1,2,40,2400
"30",2,300,1988,1,4,76,NA,1,NA,NA,NA,6,5,5,2,2,84,2400
"31",2,350,1985,1,4,79,NA,2,NA,NA,1,6,1,5,1,2,45,3000
"32",2,250,1983,1,5,81,NA,2,NA,NA,1,0,1,5,1,2,40,2400
"33",1,7000,1980,1,4,84,NA,2,NA,NA,1,0,1,5,2,1,40,7000
"34",NA,NA,1988,1,4,85,4,1,2,5,NA,NA,NA,3,1,2,NA,NA
"35",1,2400,1989,1,4,87,NA,1,NA,NA,1,6,1,5,1,2,40,2400
"36",1,7000,1984,2,4,92,NA,1,NA,NA,1,2,1,5,1,2,40,3500
"37",1,4000,1990,2,4,94,NA,1,NA,NA,1,1,1,5,1,2,40,3000
"38",NA,NA,1990,2,4,95,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,2000
"39",NA,NA,1990,1,4,104,NA,1,NA,NA,NA,NA,NA,6,3,2,NA,2400
"40",1,2500,1985,2,4,108,NA,2,NA,NA,1,0,1,5,2,1,45,2000
"41",1,7000,1982,1,4,114,NA,2,NA,NA,1,0,1,5,2,1,46,7000
"42",1,2400,1988,1,4,117,NA,1,NA,NA,1,0,1,5,5,2,40,2000
"43",3,18,1988,2,4,119,NA,1,NA,NA,1,0,2,5,1,2,18,2000
"44",1,5000,1983,1,4,122,NA,2,NA,NA,1,1,1,5,1,2,40,2400
"45",2,200,1987,1,4,123,NA,1,NA,NA,2,5,2,5,1,2,60,2400
"46",1,3500,1988,1,4,134,NA,1,NA,NA,1,0,1,5,1,2,40,2400
"47",2,500,1990,2,4,138,NA,1,NA,NA,NA,4,5,5,1,2,60,2400
"48",NA,NA,1991,1,4,140,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,2400
"49",1,2400,1987,2,4,144,NA,1,NA,NA,1,1,1,5,1,2,50,2400
"50",2,250,1984,1,4,148,NA,1,NA,NA,1,0,1,5,1,2,60,2400
"51",4,12,1989,1,4,150,NA,1,NA,NA,NA,4,5,5,2,2,60,3000
"52",NA,NA,1990,2,4,155,NA,1,NA,NA,NA,NA,NA,6,1,2,NA,2400
"53",NA,NA,1990,2,4,156,2,1,1,5,NA,NA,NA,4,NA,2,NA,NA
"54",NA,NA,1979,1,4,158,NA,1,NA,NA,NA,NA,NA,6,1,2,NA,2400
"55",NA,NA,1989,2,4,166,NA,1,NA,NA,NA,NA,NA,6,4,2,NA,2600
"56",5,1.2,1991,2,4,171,NA,1,NA,NA,2,4,2,5,1,2,42,2000
"57",1,4100,1987,2,4,179,NA,1,NA,NA,1,4,1,5,1,2,40,3000
"58",1,6000,1987,2,4,185,NA,1,NA,NA,1,1,1,5,1,2,40,4000
"59",1,5200,1981,1,4,187,NA,2,NA,NA,1,1,1,5,2,1,50,4000
"60",NA,NA,1979,2,4,188,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,2500
"61",1,5000,1988,2,4,193,NA,1,NA,NA,1,1,1,5,1,2,40,6000
"62",1,3300,1982,2,4,194,NA,1,NA,NA,1,0,1,5,2,2,51,3500
"63",1,6000,1980,1,4,195,NA,2,NA,NA,1,0,1,5,1,2,40,6000
"64",NA,NA,1985,2,4,199,NA,1,NA,NA,NA,NA,NA,6,4,2,NA,3500
"65",2,250,1988,2,5,201,NA,2,NA,NA,NA,2,5,5,1,2,30,5000
"66",1,1900,1988,2,4,202,NA,1,NA,NA,2,0,1,5,2,2,41,3000
"67",NA,NA,1989,2,4,212,NA,1,NA,NA,NA,NA,NA,6,4,2,NA,2600
"68",1,5180,1983,2,5,213,NA,2,NA,NA,1,1,1,5,2,1,35,6500
"69",2,200,1985,2,4,214,NA,1,NA,NA,1,0,1,5,2,2,50,1800
"70",1,3200,1992,2,4,216,NA,1,NA,NA,1,3,1,5,1,2,50,3600
"71",1,2200,1991,2,4,217,NA,1,NA,NA,1,4,1,5,1,2,40,2800
"72",NA,NA,1987,1,4,218,NA,1,NA,NA,NA,NA,NA,6,1,2,NA,3000
"73",2,230,1980,1,5,219,NA,2,NA,NA,1,2,2,5,2,2,55,2000
"74",2,175,1992,2,4,222,NA,1,NA,NA,1,2,1,5,4,2,22,4000
"75",1,2300,1987,2,4,223,NA,1,NA,NA,1,0,1,5,3,2,43,2600
"76",2,180,1992,2,4,224,NA,1,NA,NA,2,0,1,5,1,2,40,3000
"77",1,3700,1987,1,4,231,NA,1,NA,NA,1,1,1,5,1,2,60,4002
"78",2,200,1986,2,4,240,NA,1,NA,NA,1,0,1,5,3,2,40,3000
"79",2,300,1979,1,4,247,NA,2,NA,NA,NA,4,5,5,2,1,40,3000
"80",NA,NA,1990,1,4,248,NA,1,NA,NA,NA,NA,NA,6,5,2,NA,2200
"81",1,3800,1988,1,4,249,NA,1,NA,NA,1,1,1,5,5,2,48,2500
"82",1,5000,1984,1,4,254,NA,1,NA,NA,1,1,1,5,1,2,45,5000
"83",1,4000,1984,1,4,255,NA,2,NA,NA,1,0,1,5,1,1,45,3000
"84",1,4000,1981,1,4,257,NA,2,NA,NA,1,0,1,5,1,1,45,4000
"85",2,150,1990,1,4,258,NA,1,NA,NA,1,8,1,5,6,2,66,3000
"86",1,2700,1990,2,4,270,NA,1,NA,NA,2,2,1,5,2,2,40,2700
"87",1,2100,1991,1,4,272,NA,1,NA,NA,1,4,1,5,4,2,42,1400
"88",2,330,1986,2,4,277,NA,2,NA,NA,2,3,1,5,2,1,44,4500
"89",NA,NA,1979,2,4,278,NA,2,NA,NA,NA,NA,NA,6,3,2,NA,2000
"90",2,200,1990,2,4,280,NA,1,NA,NA,1,0,1,5,2,2,40,3200
"91",NA,NA,1991,1,4,281,NA,1,NA,NA,NA,NA,NA,6,4,2,NA,3000
"92",NA,NA,1989,2,4,282,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,3000
"93",2,200,1989,2,4,283,NA,1,NA,NA,1,0,1,5,1,2,40,2400
"94",2,120,1982,1,4,285,NA,1,NA,NA,1,2,1,5,4,2,40,1400
"95",1,4000,1983,2,4,287,NA,2,NA,NA,1,0,1,5,2,1,50,4000
"96",2,450,1984,2,4,290,NA,2,NA,NA,1,0,1,5,1,1,40,4000
"97",1,2700,1990,2,4,292,NA,1,NA,NA,1,4,1,5,4,2,52,3000
"98",2,20,1985,1,4,296,NA,1,NA,NA,2,2,2,5,1,2,5,2400
"99",NA,NA,1986,2,4,312,7,1,2,5,NA,NA,NA,4,NA,2,NA,NA
"100",1,1800,1992,2,4,313,NA,1,NA,NA,1,1,1,5,2,2,40,2000
"101",NA,NA,1978,2,4,315,NA,2,NA,NA,NA,NA,NA,6,1,1,NA,2000
"102",2,150,1989,2,4,319,NA,1,NA,NA,1,6,1,5,3,2,40,2000
"103",2,147,1992,2,4,320,NA,1,NA,NA,2,0,2,5,4,2,40,2000
"104",NA,NA,1978,2,4,328,NA,2,NA,NA,NA,NA,NA,6,4,1,NA,2000
"105",2,250,1984,2,4,333,NA,2,NA,NA,1,2,1,5,1,2,50,3000
"106",2,200,1985,2,4,338,NA,1,NA,NA,1,0,1,5,2,2,45,2500
"107",2,250,1982,1,4,360,NA,2,NA,NA,1,0,1,5,1,2,48,4000
"108",2,300,1985,2,4,361,NA,1,NA,NA,1,4,1,5,1,2,40,3000
"109",1,6700,1982,1,4,362,NA,2,NA,NA,1,0,1,5,2,1,50,5000
"110",2,250,1991,2,4,363,NA,1,NA,NA,1,3,1,5,1,2,54,3000
"111",1,2900,1988,2,4,375,NA,1,NA,NA,1,0,1,5,1,2,40,2400
"112",1,2600,1991,2,4,385,NA,1,NA,NA,1,1,1,5,1,2,40,3000
"113",NA,NA,1987,1,4,386,NA,1,NA,NA,NA,NA,NA,6,1,2,NA,4000
"114",1,4500,1982,1,4,387,NA,1,NA,NA,1,8,1,5,1,2,40,6000
"115",2,170,1990,1,4,389,NA,1,NA,NA,1,4,1,5,1,2,60,3000
"116",NA,NA,1987,2,4,390,NA,1,NA,NA,NA,NA,NA,6,1,2,NA,3000
"117",1,3000,1990,2,4,391,NA,1,NA,NA,1,0,1,5,1,2,40,4000
"118",2,200,1988,1,4,396,6,1,1,5,2,0,1,5,NA,2,40,2400
"119",1,3200,1981,1,4,405,NA,2,NA,NA,1,3,1,5,2,1,40,3200
"120",1,3000,1989,2,4,410,NA,1,NA,NA,1,0,1,5,2,2,40,3000
"121",1,3000,1988,2,4,411,NA,1,NA,NA,1,0,1,5,2,2,40,3000
"122",2,200,1983,2,4,414,NA,1,NA,NA,1,2,1,5,2,2,40,2400
"123",1,2700,1980,2,5,416,NA,2,NA,NA,1,2,1,5,2,1,40,2400
"124",NA,NA,1990,2,4,419,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,3600
"125",NA,NA,1987,1,4,421,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,1800
"126",NA,NA,1991,1,4,422,4,1,2,5,NA,NA,NA,3,2,2,NA,NA
"127",1,3700,1980,1,4,424,NA,1,NA,NA,1,0,1,5,2,2,40,3600
"128",1,2400,1981,2,4,425,NA,1,NA,NA,1,4,1,5,2,2,40,2400
"129",1,2800,1983,2,4,426,NA,1,NA,NA,1,2,1,5,2,2,40,3000
"130",2,200,1986,2,4,429,NA,2,NA,NA,1,0,1,5,2,2,40,2400
"131",1,2400,1985,2,5,442,NA,1,NA,NA,1,3,1,5,2,2,40,3600
"132",1,3800,1981,2,4,445,NA,1,NA,NA,1,0,1,5,2,2,40,3600
"133",2,150,1991,2,4,450,NA,1,NA,NA,1,0,1,5,2,2,40,2000
"134",1,4700,1984,1,4,458,NA,2,NA,NA,1,1,1,5,2,1,40,4000
"135",1,3000,1989,2,4,459,NA,1,NA,NA,1,3,1,5,2,2,40,3000
"136",NA,NA,1992,2,4,462,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,2400
"137",2,125,1980,1,4,470,NA,2,NA,NA,NA,6,5,5,2,1,70,4000
"138",1,2800,1990,2,4,472,NA,1,NA,NA,1,4,1,5,4,2,44,3500
"139",1,9090908,1988,2,4,473,NA,1,NA,NA,1,5,1,5,2,2,40,5000
"140",2,180,1988,1,4,474,NA,1,NA,NA,1,0,1,5,2,2,51,2400
"141",NA,NA,1992,2,4,478,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,2000
"142",2,9090908,1992,2,4,479,NA,1,NA,NA,1,0,1,5,2,2,50,3000
"143",1,3000,1988,1,4,482,NA,1,NA,NA,1,0,1,5,2,2,39,2800
"144",1,4500,1987,2,4,483,NA,1,NA,NA,1,0,1,5,1,2,42,3000
"145",NA,NA,1982,2,5,491,NA,2,NA,NA,NA,NA,NA,6,3,2,NA,3000
"146",9090909,9090908,1980,1,4,493,NA,2,NA,NA,NA,1,5,5,1,1,45,8000
"147",2,250,1982,2,4,494,NA,1,NA,NA,NA,5,5,5,2,2,60,3500
"148",NA,NA,1991,2,4,495,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,2500
"149",1,2800,1985,2,4,496,NA,2,NA,NA,1,2,1,5,1,2,40,3000
"150",1,2800,1986,2,5,497,NA,2,NA,NA,1,3,1,5,1,1,40,3500
"151",1,5000,1978,1,4,498,NA,2,NA,NA,1,0,1,5,2,1,43,5000
"152",9090908,9090908,1982,1,5,503,NA,2,NA,NA,1,1,1,5,1,1,42,4000
"153",2,180,1992,1,4,509,NA,1,NA,NA,1,6,1,5,4,2,51,2300
"154",9090908,9090908,1990,2,4,512,NA,1,NA,NA,1,1,1,5,2,2,43,3500
"155",2,250,1990,2,4,515,NA,1,NA,NA,1,0,1,5,2,2,40,3000
"156",2,250,1987,2,4,516,NA,1,NA,NA,1,0,1,5,1,2,40,3000
"157",2,300,1981,2,5,517,NA,1,NA,NA,1,1,1,5,1,2,40,3500
"158",NA,NA,1992,2,4,518,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,2500
"159",NA,NA,1983,1,4,521,NA,1,NA,NA,NA,NA,NA,6,1,2,NA,3000
"160",2,140,1990,2,4,523,NA,1,NA,NA,1,0,1,5,1,2,50,2000
"161",NA,NA,1989,1,4,527,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,3000
"162",1,4000,1982,1,4,529,NA,2,NA,NA,2,6,1,5,4,1,50,3000
"163",1,3600,1990,1,4,530,NA,1,NA,NA,1,1,1,5,2,2,45,2500
"164",NA,NA,1989,1,4,531,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,3000
"165",1,3000,1990,2,4,532,NA,1,NA,NA,1,1,1,5,2,2,46,1800
"166",1,7600,1979,1,4,537,NA,2,NA,NA,1,0,1,5,2,1,55,3500
"167",NA,NA,1979,2,4,538,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,2400
"168",5,0.9,1991,2,4,539,NA,1,NA,NA,2,2,2,5,4,2,21,2000
"169",NA,NA,1992,2,4,540,NA,1,NA,NA,NA,NA,NA,6,4,2,NA,2500
"170",2,120,1984,2,4,542,NA,2,NA,NA,NA,2,5,5,3,2,22,1200
"171",1,3000,1990,2,4,544,NA,1,NA,NA,1,2,1,5,1,2,43,3000
"172",NA,NA,1987,2,4,545,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,3000
"173",NA,NA,1988,1,4,553,NA,1,NA,NA,NA,NA,NA,6,3,2,NA,2500
"174",NA,NA,1992,2,4,555,5,1,2,5,NA,NA,NA,4,4,2,NA,NA
"175",NA,NA,1989,1,4,556,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,3000
"176",1,3000,1984,2,4,557,NA,1,NA,NA,1,1,1,5,2,2,46,2000
"177",NA,NA,1987,2,4,558,NA,2,NA,NA,NA,NA,NA,6,3,2,NA,2500
"178",1,4100,1983,1,4,561,NA,1,NA,NA,1,1,1,5,1,2,45,3000
"179",1,2500,1990,2,4,562,NA,1,NA,NA,1,4,1,5,1,2,45,2000
"180",1,5500,1986,2,5,564,NA,1,NA,NA,1,2,1,5,3,2,46,4000
"181",NA,NA,1988,2,5,565,NA,1,NA,NA,NA,NA,NA,6,3,2,NA,3000
"182",1,2500,1990,2,4,567,NA,1,NA,NA,1,1,1,5,2,2,43,2400
"183",NA,NA,1985,2,4,570,NA,1,NA,NA,NA,NA,NA,6,3,2,NA,3000
"184",1,4000,1988,1,4,572,NA,1,NA,NA,1,1,1,5,3,2,45,3000
"185",NA,NA,1991,1,4,573,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,2500
"186",1,2500,1986,1,4,574,NA,1,NA,NA,1,1,1,5,3,2,45,3000
"187",NA,NA,1978,2,4,576,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,2400
"188",1,2800,1980,2,4,577,NA,1,NA,NA,2,2,1,5,2,2,32,2000
"189",1,3000,1979,2,4,578,NA,1,NA,NA,1,4,1,5,2,2,48,2000
"190",NA,NA,1987,1,4,580,NA,1,NA,NA,NA,NA,NA,6,4,2,NA,3000
"191",1,1800,1988,1,4,582,NA,1,NA,NA,1,4,1,5,3,2,43,1500
"192",2,300,1988,1,4,583,NA,1,NA,NA,NA,0,5,5,2,2,70,3000
"193",NA,NA,1989,1,4,584,NA,1,NA,NA,NA,NA,NA,6,4,2,NA,2400
"194",1,2500,1991,2,4,587,NA,1,NA,NA,1,3,1,5,2,2,43,1800
"195",1,4000,1990,1,4,591,NA,1,NA,NA,1,1,1,5,2,2,46,3000
"196",1,3000,1992,2,4,592,NA,1,NA,NA,1,1,1,5,2,2,45,2500
"197",NA,NA,1990,1,4,593,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,2500
"198",1,2300,1988,2,4,597,NA,1,NA,NA,1,0,1,5,2,2,40,1800
"199",1,3600,1991,2,5,599,NA,1,NA,NA,1,4,1,5,2,2,43,3000
"200",NA,NA,1989,1,4,601,4,2,2,5,NA,NA,NA,4,2,2,NA,NA
"201",1,2400,1990,1,4,602,NA,1,NA,NA,1,0,1,5,2,2,43,2000
"202",NA,NA,1983,2,4,604,NA,2,NA,NA,NA,NA,NA,6,3,1,NA,2500
"203",1,3500,1986,2,4,606,NA,2,NA,NA,1,2,1,5,1,2,47,2400
"204",1,8000,1979,1,4,609,NA,2,NA,NA,1,6,1,5,3,1,47,3600
"205",1,3800,1982,2,4,611,NA,2,NA,NA,1,0,1,5,4,2,45,3500
"206",NA,NA,1989,2,4,612,NA,1,NA,NA,NA,NA,NA,6,3,2,NA,2500
"207",1,3200,1984,2,4,613,NA,1,NA,NA,1,0,1,5,2,2,45,2400
"208",NA,NA,1981,2,4,614,NA,2,NA,NA,NA,NA,NA,6,4,2,NA,2400
"209",1,5000,1981,2,4,620,NA,2,NA,NA,1,4,1,5,2,1,40,4000
"210",1,3500,1987,2,4,623,NA,2,NA,NA,1,1,1,5,3,1,43,2500
"211",1,7000,1982,1,4,626,NA,2,NA,NA,1,6,1,5,2,2,42,3000
"212",1,3200,1986,2,4,628,NA,2,NA,NA,1,0,1,5,2,1,45,3000
"213",NA,NA,1983,2,4,629,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,2000
"214",NA,NA,1990,2,4,636,NA,2,NA,NA,NA,NA,NA,6,2,2,NA,2500
"215",1,6000,1979,1,5,651,NA,2,NA,NA,1,0,1,5,2,2,40,3000
"216",1,4000,1981,1,4,658,NA,2,NA,NA,1,1,1,5,2,1,45,2400
"217",1,3500,1987,2,4,660,NA,1,NA,NA,1,3,1,5,2,2,40,2400
"218",1,2200,1991,1,4,661,NA,1,NA,NA,1,2,1,5,2,2,40,2000
"219",1,2600,1985,2,4,662,NA,1,NA,NA,1,0,1,5,2,2,40,2600
"220",1,3600,1980,2,4,663,NA,2,NA,NA,1,2,1,5,2,1,42,2500
"221",1,4000,1988,1,4,666,NA,1,NA,NA,1,0,1,5,1,2,40,3000
"222",NA,NA,1991,1,4,667,5,1,1,5,NA,NA,NA,4,1,2,NA,NA
"223",2,170,1989,1,4,668,NA,1,NA,NA,1,4,1,5,2,2,40,1800
"224",1,3400,1981,1,4,670,NA,1,NA,NA,1,6,1,5,2,2,42,2500
"225",2,200,1989,1,4,677,NA,1,NA,NA,1,5,1,5,1,2,40,2000
"226",NA,NA,1987,2,4,680,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,2500
"227",1,3000,1986,1,5,681,NA,1,NA,NA,2,2,2,5,2,2,40,2500
"228",NA,NA,1988,1,4,682,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,2000
"229",1,4800,1980,1,4,688,NA,2,NA,NA,1,0,1,5,2,1,48,3000
"230",NA,NA,1985,2,4,690,NA,2,NA,NA,NA,NA,NA,6,4,1,NA,2500
"231",1,3000,1988,1,4,696,NA,1,NA,NA,1,1,1,5,2,2,44,2500
"232",1,4400,1989,1,4,697,NA,1,NA,NA,1,1,1,5,1,2,43,4000
"233",NA,NA,1981,2,4,703,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,2000
"234",1,4600,1984,1,4,705,1,2,1,5,1,2,1,5,2,2,42,3000
"235",1,2400,1989,1,4,715,NA,1,NA,NA,1,0,1,5,1,2,45,3000
"236",2,150,1984,2,4,717,NA,2,NA,NA,1,0,1,5,2,2,40,3000
"237",2,1000,1989,2,4,719,NA,2,NA,NA,NA,2,4,5,1,2,60,3000
"238",1,5000,1984,1,4,721,NA,2,NA,NA,1,0,1,5,2,2,50,5000
"239",2,130,1992,2,4,723,NA,1,NA,NA,1,0,1,5,2,2,45,2000
"240",1,7000,1981,1,4,724,NA,2,NA,NA,1,0,1,5,1,1,44,6000
"241",NA,NA,1984,2,4,727,NA,1,NA,NA,NA,NA,NA,6,3,2,NA,1800
"242",1,7000,1984,1,4,729,NA,2,NA,NA,1,0,1,5,3,2,50,5000
"243",1,4200,1984,1,4,732,NA,1,NA,NA,1,1,1,5,1,2,50,4200
"244",NA,NA,1988,1,4,735,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,3000
"245",NA,NA,1984,2,4,737,NA,2,NA,NA,NA,NA,NA,6,1,2,NA,1800
"246",NA,NA,1979,2,4,738,NA,2,NA,NA,NA,NA,NA,6,1,1,NA,2400
"247",1,3300,1988,2,4,741,NA,1,NA,NA,1,2,1,5,1,2,40,4000
"248",NA,NA,1990,1,4,744,NA,1,NA,NA,NA,NA,NA,6,1,2,NA,3500
"249",2,240,1989,2,4,746,NA,1,NA,NA,1,0,1,5,3,2,40,2500
"250",2,150,1988,2,4,747,NA,1,NA,NA,1,0,1,5,5,2,40,3000
"251",NA,NA,1978,2,4,750,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,1800
"252",NA,NA,1979,2,4,752,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,2000
"253",NA,NA,1991,2,4,760,3,1,1,5,NA,NA,NA,4,NA,2,NA,NA
"254",2,400,1978,1,4,766,NA,2,NA,NA,NA,0,4,5,2,1,50,5000
"255",2,200,1980,2,4,769,NA,2,NA,NA,1,3,1,5,1,1,40,2400
"256",2,200,1983,2,4,770,NA,2,NA,NA,1,0,1,5,1,1,40,2000
"257",NA,NA,1980,2,4,771,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,3500
"258",NA,NA,1985,2,4,772,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,3000
"259",1,3600,1987,2,5,773,NA,2,NA,NA,1,1,1,5,1,2,40,2400
"260",1,3700,1988,2,4,777,NA,1,NA,NA,1,0,1,5,2,2,40,3600
"261",1,2400,1981,1,4,778,NA,2,NA,NA,1,0,1,5,2,1,40,2400
"262",2,160,1979,2,4,779,NA,1,NA,NA,2,0,1,5,2,2,44,2000
"263",NA,NA,1982,2,4,780,NA,2,NA,NA,NA,NA,NA,6,2,2,NA,2400
"264",2,160,1987,2,4,784,NA,1,NA,NA,1,2,1,5,2,2,40,2000
"265",1,2000,1992,2,4,785,NA,1,NA,NA,1,1,1,5,2,2,40,2000
"266",1,3000,1991,2,4,786,NA,1,NA,NA,1,1,1,5,2,2,40,3000
"267",1,2700,1984,2,4,787,NA,2,NA,NA,1,4,1,5,2,2,40,2400
"268",1,2400,1985,2,4,788,NA,2,NA,NA,1,0,1,5,2,2,40,2400
"269",1,4000,1990,1,4,791,NA,1,NA,NA,1,1,1,5,2,2,40,3600
"270",NA,NA,1988,1,5,792,4,1,1,5,NA,NA,NA,4,2,2,NA,NA
"271",2,350,1989,1,4,793,NA,1,NA,NA,1,0,1,5,4,2,48,2300
"272",2,280,1989,1,4,798,NA,1,NA,NA,1,2,1,5,2,2,48,2300
"273",NA,NA,1991,1,4,799,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,2500
"274",2,250,1987,2,4,805,NA,1,NA,NA,NA,2,5,5,2,2,30,2000
"275",2,280,1989,2,4,807,NA,1,NA,NA,1,0,1,5,2,2,48,2300
"276",NA,NA,1978,2,4,810,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,2000
"277",NA,NA,1989,1,4,811,4,1,1,5,NA,NA,NA,4,2,2,NA,NA
"278",NA,NA,1992,2,4,812,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,2000
"279",2,230,1989,1,4,814,NA,1,NA,NA,1,2,1,5,2,2,40,2000
"280",2,260,1988,2,4,815,NA,1,NA,NA,1,0,1,5,1,2,40,9090909
"281",NA,NA,1989,1,4,816,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,2300
"282",2,290,1989,1,4,819,NA,1,NA,NA,1,8,1,5,2,2,40,2500
"283",NA,NA,1985,2,5,820,4,1,1,5,NA,NA,NA,4,2,2,NA,NA
"284",NA,NA,1990,2,4,822,NA,1,NA,NA,NA,NA,NA,6,2,2,NA,2000
"285",2,230,1991,2,4,828,NA,1,NA,NA,1,3,1,5,2,2,45,2000
"286",2,9090908,1991,2,4,829,NA,1,NA,NA,1,0,1,5,2,2,40,2000
"287",2,500,1979,2,5,833,NA,2,NA,NA,NA,2,5,5,2,2,30,2300
"288",2,9090908,1991,1,4,835,NA,1,NA,NA,NA,1,5,5,2,2,40,2000
"289",NA,NA,1992,1,4,836,NA,1,NA,NA,NA,NA,NA,6,3,2,NA,2000
"290",1,3000,1984,1,5,846,NA,2,NA,NA,1,2,2,5,1,1,60,2400
"291",2,270,1990,2,4,848,NA,1,NA,NA,1,2,1,5,1,2,48,1900
"292",2,270,1991,1,4,854,NA,1,NA,NA,1,1,1,5,2,2,40,2200
"293",NA,NA,1979,2,5,855,NA,2,NA,NA,NA,NA,NA,6,2,1,NA,2000
"294",2,180,1989,2,4,863,NA,1,NA,NA,1,6,1,5,2,2,40,2000
"295",NA,NA,1992,2,4,864,NA,2,NA,NA,NA,NA,NA,6,2,2,NA,1800
"296",1,4870,1982,1,4,865,NA,1,NA,NA,1,1,1,5,1,2,45,4800
"297",2,250,1980,1,4,873,NA,1,NA,NA,1,6,1,5,4,2,45,3000
"298",2,150,1989,1,4,878,NA,1,NA,NA,1,2,1,5,1,2,40,1800
"299",1,5800,1981,2,4,879,NA,1,NA,NA,1,1,1,5,2,2,45,3000
"300",1,3000,1979,1,4,882,NA,2,NA,NA,1,0,1,5,2,2,40,2400
"301",1,4000,1981,2,4,883,NA,2,NA,NA,1,0,1,5,1,1,40,3000
